date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:24	100204/100204	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typicons.eot?	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typiconsd41d.eot	(from https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/typicons.css)
21:04:24	59872/59872	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typicons.woff	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typicons.woff	(from https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/typicons.css)
21:04:25	99920/99920	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typicons.ttf	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typicons.ttf	(from https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/typicons.css)
21:04:26	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.eot	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.eot	(from https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/weathericons.css)
21:04:27	186474/186474	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typicons.svg	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/typicons/fonts/typicons.svg	(from https://spruko.com/demo/sash/sash/assets/iconfonts/typicons/typicons.css)
21:04:28	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.eot?	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfontd41d.eot	(from https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/weathericons.css)
21:04:28	44720/44720	---M--	200	added ('OK')	font/woff2	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.woff2	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.woff2	(from https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/weathericons.css)
21:04:28	56468/56468	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.woff	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.woff	(from https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/weathericons.css)
21:04:30	99564/99564	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.ttf	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.ttf	(from https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/weathericons.css)
21:04:30	184969/184969	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2017:10:12%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.svg	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/weathericons/fonts/weathericons-regular-webfont.svg	(from https://spruko.com/demo/sash/sash/assets/iconfonts/weathericons/weathericons.css)
21:04:31	64468/64468	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont.eot?t=1501841394106	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont6cfa.eot	(from https://spruko.com/demo/sash/sash/assets/iconfonts/feather/feather.css)
21:04:31	28984/28984	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont.woff?t=1501841394106	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont6cfa.woff	(from https://spruko.com/demo/sash/sash/assets/iconfonts/feather/feather.css)
21:04:31	66816/66816	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont.ttf?t=1501841394106	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont6cfa.ttf	(from https://spruko.com/demo/sash/sash/assets/iconfonts/feather/feather.css)
21:04:34	166680/166680	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont.svg?t=1501841394106	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/feather/fonts/feather-webfont6cfa.svg	(from https://spruko.com/demo/sash/sash/assets/iconfonts/feather/feather.css)
21:04:36	239045/239045	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Jan%202017%2018:03:10%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/simple-line-icons/fonts/Simple-Line-Icons.svg?v=2.4.0	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/simple-line-icons/fonts/Simple-Line-Iconsb26c.svg	(from https://spruko.com/demo/sash/sash/assets/iconfonts/simple-line-icons/simple-line-icons.css)
21:04:36	125268/125268	---M--	200	added ('OK')	font/woff2	date:Mon,%2013%20Jul%202020%2002:42:38%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.woff2	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.woff2	(from https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/remixicon.css)
21:04:36	403228/403228	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2013%20Jul%202020%2002:42:38%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.eot	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.eot	(from https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/remixicon.css)
21:04:40	172876/172876	---M--	200	added ('OK')	font/woff	date:Mon,%2013%20Jul%202020%2002:42:38%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.woff	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.woff	(from https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/remixicon.css)
21:04:43	403056/403056	---M--	200	added ('OK')	font/ttf	date:Mon,%2013%20Jul%202020%2002:42:38%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.ttf	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/remixicon/fonts/remixicon.ttf	(from https://spruko.com/demo/sash/sash/assets/iconfonts/remixicon/remixicon.css)
21:06:48	2217237/2217237	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/sash/sash/assets/iconfonts/materialdesignicons/fonts/materialdesignicons-webfont.svg?v=2.0.46	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/iconfonts/materialdesignicons/fonts/materialdesignicons-webfontdf71.svg	(from https://spruko.com/demo/sash/sash/assets/iconfonts/materialdesignicons/materialdesignicons.css)
